data_as_of,start_date,end_date,group,year,state,sex,age_group,covid_19_deaths,total_deaths,pneumonia_deaths,pneumonia_and_covid_19_deaths,influenza_deaths,pneumonia_influenza_or_covid_19_deaths,footnote,disease_category,prevalence_rate
09/27/2023,01/01/2021,12/31/2021,By Year,2021,Indiana,Female,85 years and over,"1,241","12,471","1,009",519,0,"1,731",,Asthma,6.52
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,All Ages,"6,032","76,090","6,685","2,978",231,"9,953",,Arthritis,13.87
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,Under 1 year,,575,10,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,39.58
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,0-17 years,21,975,22,,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,34.26
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,1-4 years,,111,,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,33.63
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,5-14 years,,136,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,41.5
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,15-24 years,23,837,19,12,,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.25
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,18-29 years,37,"1,433",38,17,,61,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,17.38
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,25-34 years,72,"1,767",67,30,,111,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,8.52
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,30-39 years,96,"2,144",99,40,,157,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,42.91
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,35-44 years,126,"2,559",132,62,,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,4.89
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,40-49 years,228,"3,312",223,121,,339,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,13.71
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,45-54 years,350,"4,458",350,183,10,527,,Hypertension,36.33
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,50-64 years,"1,046","12,760","1,234",586,45,"1,736",,Hypertension,24.01
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,55-64 years,843,"10,181","1,028",479,38,"1,427",,Obesity,26.87
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,65-74 years,"1,419","16,219","1,694",773,52,"2,385",,Arthritis,17.23
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,75-84 years,"1,614","19,288","1,845",803,66,"2,719",,Asthma,9.23
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,All Sexes,85 years and over,"1,571","19,959","1,530",633,46,"2,511",,Hypertension,35.78
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,All Ages,"3,250","39,587","3,579","1,690",102,"5,232",,Hypertension,31.27
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,Under 1 year,,335,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,6.38
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,0-17 years,14,593,,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,19.16
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,1-4 years,,59,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,6.81
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,5-14 years,,88,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,27.97
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,15-24 years,12,601,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,27.46
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,18-29 years,18,"1,012",21,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,9.19
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,25-34 years,38,"1,197",40,18,0,60,,Obesity,45.86
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,30-39 years,55,"1,422",59,24,0,90,,Obesity,37.63
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,35-44 years,76,"1,663",73,35,,117,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,9.78
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,40-49 years,144,"2,097",126,73,,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,36.31
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,45-54 years,215,"2,778",196,115,,302,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,25.53
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,50-64 years,612,"7,731",662,339,18,952,,Chronic Kidney Disease,4.27
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,55-64 years,493,"6,134",551,273,14,784,,Hypertension,26.84
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,65-74 years,799,"9,296",977,447,27,"1,353",,COPD,7.97
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,75-84 years,896,"9,823","1,014",472,28,"1,464",,COPD,8.76
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Male,85 years and over,712,"7,613",711,324,21,"1,118",,Diabetes,10.04
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,All Ages,"2,782","36,503","3,106","1,288",129,"4,721",,Arthritis,28.11
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,Under 1 year,0,240,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,26.9
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,0-17 years,,382,13,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,5.51
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,1-4 years,,52,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,29.99
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,5-14 years,,48,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,30.6
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,15-24 years,11,236,10,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,11.81
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,18-29 years,19,421,17,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,9.37
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,25-34 years,34,570,27,12,,51,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,42.77
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,30-39 years,41,722,40,16,,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,8.02
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,35-44 years,50,896,59,27,,87,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,14.62
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,40-49 years,84,"1,215",97,48,,137,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,36.32
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,45-54 years,135,"1,680",154,68,,225,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,4.31
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,50-64 years,434,"5,029",572,247,27,784,,Hypertension,24.14
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,55-64 years,350,"4,047",477,206,24,643,,Arthritis,20.96
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,65-74 years,620,"6,923",717,326,25,"1,032",,Asthma,12.49
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,75-84 years,718,"9,465",831,331,38,"1,255",,COPD,6.3
09/27/2023,01/01/2022,12/31/2022,By Year,2022,Indiana,Female,85 years and over,859,"12,346",819,309,25,"1,393",,Hypertension,32.37
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,All Ages,"1,024","47,707","3,078",391,85,"3,791",,Hypertension,30.45
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,Under 1 year,,310,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,8.6
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,0-17 years,,543,16,0,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,7.05
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,1-4 years,,51,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,23.61
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,5-14 years,,89,,0,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,41.5
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,15-24 years,0,518,11,0,0,11,,Diabetes,11.44
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,18-29 years,,812,19,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,3.71
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,25-34 years,,883,21,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,32.08
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,30-39 years,,"1,160",33,,0,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,36.65
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,35-44 years,,"1,489",59,,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,9.38
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,40-49 years,13,"1,879",92,,,102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,4.04
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,45-54 years,26,"2,642",146,12,,166,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,5.32
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,50-64 years,114,"7,664",516,61,13,582,,Hypertension,27.28
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,55-64 years,96,"6,076",426,53,,477,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,16.85
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,65-74 years,195,"10,143",739,85,19,865,,Diabetes,5.78
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,75-84 years,293,"12,412",846,109,24,"1,053",,Depression,19.14
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,All Sexes,85 years and over,399,"13,094",817,129,25,"1,111",,COPD,7.4
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,All Ages,511,"24,568","1,598",223,32,"1,916",,Diabetes,10.12
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,Under 1 year,,169,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,10.04
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,0-17 years,,322,11,0,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,6.9
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,1-4 years,,26,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,22.03
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,5-14 years,,51,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,23.23
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,15-24 years,0,391,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,21.68
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,18-29 years,0,608,14,0,0,14,,Asthma,8.38
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,25-34 years,,626,15,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.6
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,30-39 years,,766,21,,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,36.91
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,35-44 years,,967,37,,,42,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,21.71
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,40-49 years,10,"1,201",58,,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,9.87
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,45-54 years,14,"1,662",78,,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,32.39
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,50-64 years,56,"4,634",271,30,,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,18.76
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,55-64 years,48,"3,639",228,28,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,23.37
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,65-74 years,110,"5,758",410,53,10,475,,Hypertension,39.78
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,75-84 years,142,"6,220",448,57,10,543,,Diabetes,9.38
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Male,85 years and over,186,"5,059",365,78,,478,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,4.77
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,All Ages,513,"23,139","1,480",168,53,"1,875",,COPD,4.72
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,Under 1 year,,141,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,16.1
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,0-17 years,,221,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,19.96
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,1-4 years,0,25,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,28.72
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,5-14 years,,38,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,25.51
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,15-24 years,0,127,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,16.91
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,18-29 years,,204,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,12.16
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,25-34 years,,257,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,27.61
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,30-39 years,0,394,12,0,0,12,,Asthma,6.84
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,35-44 years,,522,22,0,0,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,18.75
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,40-49 years,,678,34,,0,36,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,9.07
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,45-54 years,12,980,68,,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,38.84
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,50-64 years,58,"3,030",245,31,,281,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,16.87
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,55-64 years,48,"2,437",198,25,,226,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,3.93
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,65-74 years,85,"4,385",329,32,,390,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,17.77
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,75-84 years,151,"6,192",398,52,14,510,,Depression,21.08
09/27/2023,01/01/2023,09/23/2023,By Year,2023,Indiana,Female,85 years and over,213,"8,035",452,51,20,633,,COPD,3.19
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,All Ages,"4,769","35,658","3,382","1,612",96,"6,633",,Diabetes,8.04
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,Under 1 year,,148,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,8.15
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,0-17 years,,295,,0,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,37.88
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,1-4 years,,36,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,23.96
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,5-14 years,0,57,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,38.01
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,15-24 years,,295,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,3.25
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,18-29 years,11,471,13,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,20.49
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,25-34 years,19,513,19,,,30,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,34.33
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,30-39 years,33,634,21,,,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,3.73
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,35-44 years,40,772,30,11,0,59,,Hypertension,19.82
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,40-49 years,59,"1,005",53,27,0,85,,Cancer,5.49
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,45-54 years,126,"1,558",112,61,,179,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,15.23
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,50-64 years,469,"4,932",398,194,12,684,,Diabetes,12.58
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,55-64 years,385,"3,958",320,153,10,561,,Obesity,40.14
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,65-74 years,793,"6,614",671,328,24,"1,159",,Depression,16.5
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,75-84 years,"1,341","8,658",942,455,22,"1,850",,Cancer,4.0
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,All Sexes,85 years and over,"2,061","13,049","1,276",594,34,"2,777",,Depression,18.07
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,All Ages,"2,480","18,108","1,858",925,38,"3,449",,Chronic Kidney Disease,3.01
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,Under 1 year,0,80,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,30.33
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,0-17 years,0,178,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,5.06
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,1-4 years,0,23,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,6.02
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,5-14 years,0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,9.31
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,15-24 years,0,221,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,8.4
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,18-29 years,,344,,,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,32.2
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,25-34 years,,358,,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,17.53
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,30-39 years,22,433,11,,0,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,6.82
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,35-44 years,30,510,20,,0,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,23.83
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,40-49 years,36,650,34,18,0,52,,Arthritis,15.49
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,45-54 years,83,990,71,40,,115,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,11.66
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,50-64 years,312,"3,088",251,132,,435,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Arthritis,23.75
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,55-64 years,253,"2,474",201,104,,353,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,31.12
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,65-74 years,474,"3,844",403,194,11,693,,Arthritis,25.64
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,75-84 years,739,"4,520",538,273,10,"1,014",,Diabetes,9.72
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Male,85 years and over,893,"5,051",610,303,,"1,209",One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,COPD,6.94
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,All Ages,"2,289","17,550","1,524",687,58,"3,184",,Depression,15.98
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,Under 1 year,,68,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Heart Disease,5.24
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,0-17 years,,117,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,21.84
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,1-4 years,,13,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,16.2
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,5-14 years,0,20,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Asthma,3.88
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,15-24 years,,74,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Chronic Kidney Disease,4.89
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,18-29 years,,127,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Obesity,36.24
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,25-34 years,11,155,11,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,16.45
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,30-39 years,11,201,10,,,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Hypertension,15.43
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,35-44 years,10,262,10,,0,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Cancer,6.55
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,40-49 years,23,355,19,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Depression,28.94
09/27/2023,01/01/2020,12/31/2020,By Year,2020,Iowa,Female,45-54 years,43,568,41,21,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.,Diabetes,14.48
